trade_date,ticker,trade_type,quantity,price_fc,currency
2024-03-15,AAPL,BUY,10,150.50,USD
2024-06-20,AAPL,SELL,4,175.00,USD
2024-01-10,TSLA,BUY,5,220.00,USD
2024-07-05,TSLA,SELL,2,250.00,USD
2024-02-14,MSFT,BUY,8,310.25,USD
2024-08-22,GOOGL,BUY,3,140.75,USD
2024-09-10,AAPL,BUY,15,165.00,USD
2024-09-15,GOOGL,SELL,1,155.50,USD
2024-09-20,MSFT,SELL,3,320.00,USD
2024-10-01,TSLA,BUY,8,245.00,USD
2024-10-05,AAPL,SELL,5,180.25,USD
2024-10-10,NVDA,BUY,6,420.00,USD
2024-10-15,META,BUY,4,480.00,USD
2024-10-20,AMZN,BUY,2,180.50,USD
2024-10-25,MSFT,BUY,7,315.75,USD
2024-11-01,GOOGL,BUY,5,145.00,USD
2024-11-05,TSLA,SELL,3,260.00,USD
2024-11-10,AAPL,BUY,20,170.00,USD
2024-11-15,META,SELL,2,500.00,USD
2024-11-20,NVDA,SELL,4,450.00,USD
2024-11-25,AMZN,SELL,1,190.00,USD
2024-12-01,MSFT,SELL,5,330.00,USD
2024-12-05,GOOGL,SELL,3,150.75,USD
2024-12-10,TSLA,BUY,10,240.00,USD
2024-12-15,AAPL,SELL,8,185.00,USD
2024-12-20,META,BUY,6,470.00,USD
2024-01-02,NVDA,BUY,4,410.00,USD
2024-01-05,AMZN,BUY,3,175.00,USD
2024-01-10,MSFT,BUY,9,305.00,USD
2024-01-15,GOOGL,BUY,7,135.50,USD
2024-01-20,TSLA,SELL,5,255.00,USD
2024-02-01,AAPL,BUY,12,155.75,USD
2024-02-05,META,SELL,4,490.00,USD
2024-02-10,NVDA,SELL,2,440.00,USD
2024-02-15,AMZN,BUY,6,185.25,USD
2024-02-20,MSFT,BUY,5,325.00,USD
2024-03-01,GOOGL,SELL,2,148.00,USD
2024-03-05,TSLA,BUY,7,235.00,USD
2024-03-10,AAPL,SELL,10,175.50,USD
2024-03-15,META,BUY,3,475.00,USD
2024-03-20,NVDA,BUY,8,425.00,USD
2024-03-25,AMZN,SELL,4,192.00,USD
2024-04-01,MSFT,SELL,6,315.00,USD
2024-04-05,GOOGL,BUY,4,142.50,USD
2024-04-10,TSLA,SELL,9,250.00,USD
2024-04-15,AAPL,BUY,18,160.00,USD
2024-04-20,META,SELL,5,485.00,USD
2024-04-25,NVDA,SELL,3,420.00,USD
2024-05-01,AMZN,BUY,5,188.75,USD
2024-05-05,MSFT,BUY,4,320.00,USD
2024-05-10,GOOGL,SELL,6,152.25,USD
2024-05-15,TSLA,BUY,6,245.00,USD
2024-05-20,AAPL,SELL,15,182.00,USD
2024-05-25,META,BUY,7,480.00,USD
2024-06-01,NVDA,BUY,5,415.00,USD
2024-06-05,AMZN,SELL,2,195.50,USD
2024-06-10,MSFT,SELL,8,335.00,USD
2024-06-15,GOOGL,BUY,3,140.00,USD
2024-06-20,TSLA,SELL,4,255.00,USD
